순번,이름,나이,성별,지역,직업,교육수준,소득분위,결혼상태,관심사,가치관,라이프스타일,성격특성,미디어소비,쇼핑습관,사회적관계
263,가상인물_250017635,53,여성,서울,공무원,대학원졸,60-80%,기혼,"반려동물, 운동, 패션/뷰티, 음악, 요리, 여행","합리성, 자유, 명예, 가족, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장, 재물",펫팸족,ISFJ,뉴스 앱/포털 이용,미지정,"집단주의적 성향, 체면 중시"
264,가상인물_466204650,65,여성,경기,기타 무직,고졸,60-80%,이혼,"요리, 봉사활동, 여행","안정 추구, 안정, 희생, 가족 중시, 전통 존중, 공동체 의식, 재물",액티브시니어족,ISFJ,웹툰/웹소설 소비,미지정,"집단주의적 성향, 정 문화, 선후배 관계 중시"
265,가상인물_468101341,69,남성,부산,중소기업 대표,대학원졸,하위 20%,미혼,"영화/드라마, 게임, 요리, 독서, 여행, 봉사활동","가족, 명예, 안정, 안정 추구, 공동체 의식, 건강, 환경 보호, 가족 중시, 전통 존중, 희생",액티브시니어족,ISFJ,뉴스 앱/포털 이용,미지정,"체면 중시, 가족 중심 문화"
266,가상인물_993038944,27,여성,경기,"전문직(의사, 변호사 등)",중졸,60-80%,기혼,"요리, 음악, 영화/드라마, 반려동물, 재테크, 운동","경험 중시, 사회적 가치, 개성 표현, 안정, 재테크 관심, 건강, 워라밸, 개인 성장",신혼부부군,INFJ,뉴스 앱/포털 이용,미지정,"집단주의적 성향, 선후배 관계 중시"
267,가상인물_885631677,65,남성,경기,기타 무직,대졸,40-60%,기혼,"반려동물, 운동, 음악, 패션/뷰티, 독서, 여행","가족, 안정 추구, 안정, 공동체 의식, 희생, 가족 중시, 전통 존중, 개인 성장, 재물",액티브시니어족,ISFJ,웹툰/웹소설 소비,미지정,가족 중심 문화
268,가상인물_956291048,41,남성,강원,사무직,대졸,40-60%,기혼,"반려동물, 요리, 영화/드라마, 재테크, 독서, 게임","경험 중시, 사회적 가치, 개성 표현, 재테크 관심, 워라밸, 개인 성장, 재물",펫팸족,ISFJ,뉴스 앱/포털 이용,미지정,"정 문화, 가족 중심 문화, 체면 중시"
269,가상인물_206177688,55,여성,서울,영업/마케팅,대학원졸,하위 20%,기혼,"IT/기술, 음악, 게임","성공, 합리성, 자유, 명예, 가족, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",자녀결혼군,INFJ,뉴스 앱/포털 이용,미지정,가족 중심 문화
270,가상인물_563756592,100,남성,제주,소상공인,대졸,상위 20%,기혼,"재테크, 봉사활동, 반려동물, 운동, 음악, IT/기술","성공, 안정 추구, 명예, 공동체 의식, 희생, 가족 중시, 전통 존중, 개인 성장, 재물",액티브시니어족,ESTJ,유튜브/OTT 시청,미지정,"정 문화, 선후배 관계 중시"
271,가상인물_474549025,47,여성,서울,교사,대학원졸,하위 20%,기혼,"요리, 운동, 음악, 반려동물, 영화/드라마, 독서","성공, 합리성, 가족, 안정, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",중고등자녀보유군,ISFJ,SNS 활발,미지정,"선후배 관계 중시, 가족 중심 문화, 체면 중시"
272,가상인물_102423416,20,여성,경남,프리랜서,고졸,하위 20%,이혼,"재테크, IT/기술, 독서, 요리","다양성 존중, 가치소비, 성공, 디지털 네이티브, 자유, 가족, 안정, 개인주의, 공정성 중시, 개인 성장",나혼산족,INFP,웹툰/웹소설 소비,미지정,"선후배 관계 중시, 집단주의적 성향, 가족 중심 문화"
273,가상인물_294368091,50,남성,경기,교사,대학원졸,상위 20%,기혼,"운동, 게임, 독서, 요리, 재테크","합리성, 가족, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",액티브시니어족,INTJ,웹툰/웹소설 소비,미지정,"집단주의적 성향, 선후배 관계 중시"
274,가상인물_548367158,15,여성,경북,고등학생,고졸,하위 20%,미혼,"반려동물, 여행, 패션/뷰티, 독서, IT/기술, 요리","다양성 존중, 가치소비, 디지털 네이티브, 가족, 개인주의, 환경 보호, 공정성 중시",중고등학생군,INFP,뉴스 앱/포털 이용,미지정,"체면 중시, 정 문화, 선후배 관계 중시"
275,가상인물_248440230,23,남성,인천,기타 무직,대학원졸,60-80%,미혼,"운동, 여행, 독서","다양성 존중, 가치소비, 디지털 네이티브, 명예, 개인주의, 환경 보호, 공정성 중시",나혼산족,INFP,웹툰/웹소설 소비,미지정,정 문화
276,가상인물_363433841,71,남성,경기,소상공인,초졸,20-40%,기혼,"영화/드라마, IT/기술, 여행, 패션/뷰티, 반려동물, 운동","성공, 가족, 안정 추구, 공동체 의식, 건강, 환경 보호, 가족 중시, 희생, 전통 존중, 개인 성장",액티브시니어족,ISFJ,웹툰/웹소설 소비,미지정,정 문화
277,가상인물_361945169,13,여성,충북,고등학생,중졸,40-60%,미혼,"봉사활동, 영화/드라마, 요리, 게임, 독서, 여행","다양성 존중, 가치소비, 디지털 네이티브, 안정, 개인주의, 환경 보호, 공정성 중시",중고등학생군,INFP,유튜브/OTT 시청,미지정,"선후배 관계 중시, 가족 중심 문화"
278,가상인물_430410578,48,여성,전남,공무원,고졸,60-80%,기혼,"IT/기술, 여행, 반려동물","합리성, 가족, 안정, 개성, 건강, 가족과 개인의 균형, 문화적 개방성, 자기계발",자녀결혼군,ISFJ,유튜브/OTT 시청,미지정,정 문화
279,가상인물_676116405,18,여성,인천,중학생,고졸,상위 20%,이혼,"영화/드라마, 재테크, 운동, 여행, 독서","다양성 존중, 가치소비, 디지털 네이티브, 자유, 개인주의, 공정성 중시, 개인 성장, 재물",중고등학생군,ENFP,웹툰/웹소설 소비,미지정,"집단주의적 성향, 체면 중시"
280,가상인물_832565729,61,여성,경남,"전문직(의사, 변호사 등)",대학원졸,20-40%,미혼,"게임, 영화/드라마, 운동","안정 추구, 안정, 공동체 의식, 환경 보호, 개인 성장, 가족 중시, 전통 존중, 희생",액티브시니어족,INFJ,웹툰/웹소설 소비,미지정,정 문화
281,가상인물_927493103,72,여성,경기,은퇴자,고졸,60-80%,미혼,"음악, 운동, 봉사활동, 영화/드라마, IT/기술","자유, 명예, 안정 추구, 공동체 의식, 환경 보호, 가족 중시, 전통 존중, 희생",액티브시니어족,ISFJ,유튜브/OTT 시청,미지정,"선후배 관계 중시, 집단주의적 성향, 정 문화"
282,가상인물_896092847,49,여성,경기,은퇴자,고졸,40-60%,사별,"반려동물, 독서, 재테크, 영화/드라마, IT/기술, 요리","합리성, 가족, 안정, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",실버군,ISFJ,유튜브/OTT 시청,미지정,"체면 중시, 선후배 관계 중시"
283,가상인물_627563064,68,여성,경기,중소기업 대표,대졸,20-40%,미혼,"요리, 음악, 여행, 패션/뷰티","성공, 안정 추구, 공동체 의식, 환경 보호, 가족 중시, 전통 존중, 희생, 재물",액티브시니어족,ISFJ,뉴스 앱/포털 이용,미지정,가족 중심 문화
284,가상인물_609024844,66,여성,서울,은퇴자,고졸,상위 20%,미혼,"영화/드라마, 게임, 요리","자유, 명예, 안정 추구, 공동체 의식, 가족 중시, 전통 존중, 희생",실버군,ISFJ,뉴스 앱/포털 이용,미지정,선후배 관계 중시
285,가상인물_659365774,66,여성,경기,소상공인,대졸,하위 20%,기혼,"봉사활동, 독서, 운동, 재테크","성공, 안정 추구, 안정, 공동체 의식, 가족 중시, 전통 존중, 희생, 재물",액티브시니어족,ISFJ,SNS 활발,미지정,가족 중심 문화
286,가상인물_924430556,20,여성,서울,육아휴직중,고졸,하위 20%,미혼,"패션/뷰티, 운동, IT/기술, 봉사활동","사회적 기여, 다양성 존중, 가치소비, 디지털 네이티브, 개인주의, 공정성 중시, 재물",영아자녀보유군,ISFJ,뉴스 앱/포털 이용,미지정,"정 문화, 집단주의적 성향"
287,가상인물_839840023,77,여성,서울,어업,고졸,하위 20%,기혼,"음악, 여행, 패션/뷰티","사회적 기여, 안정 추구, 공동체 의식, 가족 중시, 개인 성장, 전통 존중, 희생",실버군,ISFJ,뉴스 앱/포털 이용,미지정,"가족 중심 문화, 선후배 관계 중시"
288,가상인물_811321515,59,남성,경기,소상공인,고졸,하위 20%,사별,"봉사활동, 영화/드라마, 재테크, 운동, IT/기술, 요리","성공, 합리성, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",액티브시니어족,ISTJ,유튜브/OTT 시청,미지정,가족 중심 문화
289,가상인물_246585277,40,여성,서울,공무원,고졸,40-60%,기혼,"재테크, 요리, 여행, 게임","경험 중시, 성공, 사회적 가치, 개성 표현, 안정, 재테크 관심, 워라밸",신혼부부군,ISFJ,유튜브/OTT 시청,미지정,집단주의적 성향
290,가상인물_857334846,42,여성,전북,영업/마케팅,대졸,60-80%,미혼,"운동, 영화/드라마, 봉사활동, 반려동물, 재테크","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 재테크 관심, 건강, 워라밸, 개인 성장, 재물",나혼산족,INFP,유튜브/OTT 시청,미지정,가족 중심 문화
291,가상인물_187324072,88,남성,인천,"전문직(의사, 변호사 등)",대졸,상위 20%,기혼,"영화/드라마, 독서, 음악, 게임","성공, 자유, 안정 추구, 공동체 의식, 건강, 가족 중시, 희생, 전통 존중, 개인 성장",실버군,ESTJ,SNS 활발,미지정,집단주의적 성향
292,가상인물_386028372,49,여성,서울,프리랜서,대졸,40-60%,미혼,"음악, IT/기술, 독서, 봉사활동, 재테크","합리성, 명예, 안정, 개성, 환경 보호, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",나혼산족,INFJ,뉴스 앱/포털 이용,미지정,"정 문화, 집단주의적 성향"
293,가상인물_346855467,23,남성,충남,기타 무직,대졸,20-40%,미혼,"요리, 봉사활동, 반려동물, IT/기술, 재테크","사회적 기여, 다양성 존중, 가치소비, 성공, 디지털 네이티브, 가족, 안정, 개인주의, 환경 보호, 공정성 중시",나혼산족,INFP,유튜브/OTT 시청,미지정,가족 중심 문화
294,가상인물_930567648,38,여성,대구,"전문직(의사, 변호사 등)",고졸,20-40%,이혼,"운동, 봉사활동, 여행","경험 중시, 사회적 가치, 개성 표현, 안정, 재테크 관심, 건강, 워라밸, 개인 성장",나혼산족,INFJ,SNS 활발,미지정,"가족 중심 문화, 선후배 관계 중시, 정 문화"
295,가상인물_819460875,1,여성,부산,대학원생,초졸,20-40%,기혼,"운동, 패션/뷰티, 게임, 요리","안정, 환경 보호, 성공",영아자녀보유군,ISFJ,뉴스 앱/포털 이용,미지정,"정 문화, 선후배 관계 중시, 집단주의적 성향"
296,가상인물_876976918,94,남성,서울,영업/마케팅,대졸,40-60%,미혼,"음악, 재테크, 반려동물, 패션/뷰티","성공, 안정 추구, 희생, 가족 중시, 전통 존중, 공동체 의식, 재물",실버군,ISFJ,웹툰/웹소설 소비,미지정,집단주의적 성향
297,가상인물_684288549,26,여성,충북,전업주부,대졸,상위 20%,기혼,"재테크, 운동, 게임, IT/기술, 여행","경험 중시, 사회적 가치, 개성 표현, 자유, 가족, 재테크 관심, 워라밸",신혼부부군,ENFJ,유튜브/OTT 시청,미지정,선후배 관계 중시
298,가상인물_722948121,56,남성,충남,기타 무직,초졸,60-80%,미혼,"요리, IT/기술, 영화/드라마, 운동, 음악","합리성, 가족, 건강, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",나혼산족,ISFJ,뉴스 앱/포털 이용,미지정,"선후배 관계 중시, 집단주의적 성향, 체면 중시"
299,가상인물_574796903,94,남성,부산,은퇴자,초졸,상위 20%,기혼,"영화/드라마, 요리, 재테크","안정 추구, 공동체 의식, 건강, 환경 보호, 개인 성장, 가족 중시, 전통 존중, 희생",실버군,ISFJ,뉴스 앱/포털 이용,미지정,"정 문화, 가족 중심 문화"
300,가상인물_807603861,89,남성,경남,기타 무직,대학원졸,40-60%,미혼,"재테크, 독서, 패션/뷰티, 여행, 운동, 음악","사회적 기여, 성공, 자유, 안정 추구, 공동체 의식, 가족 중시, 전통 존중, 희생",액티브시니어족,INFJ,뉴스 앱/포털 이용,미지정,"선후배 관계 중시, 집단주의적 성향"
301,가상인물_532996354,65,여성,서울,중소기업 대표,대학원졸,하위 20%,미혼,"반려동물, 재테크, 패션/뷰티, 게임","전통 존중, 가족 중시, 안정 추구, 개인 성장, 안정, 재물, 희생, 공동체 의식",액티브시니어족,ISFJ,뉴스 앱/포털 이용,미지정,"집단주의적 성향, 체면 중시"
